,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,PCT_DREB,STL,PCT_STL,BLK,PCT_BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,DEF_WS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,PCT_DREB_RANK,STL_RANK,PCT_STL_RANK,BLK_RANK,PCT_BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,DEF_WS_RANK,SEASON_ID
1,203952,Andrew Wiggins,Andrew,1610612744,GSW,25.0,42,12,30,0.286,34.7,111.8,4.1,0.115,0.165,0.7,0.119,0.9,0.194,13.2,9.3,9.3,34.4,0.073,5,5,20,12,1,18,6,14,15,13,17,5,10,24,22,21,20,5,2019-20
2,1626156,D'Angelo Russell,D'Angelo,1610612750,MIN,24.0,12,3,9,0.25,32.6,114.6,4.3,0.125,0.183,1.4,0.254,0.3,0.118,11.3,9.8,10.9,37.8,0.042,21,20,4,19,4,20,5,13,12,2,5,13,15,21,23,22,22,16,2019-20
3,203476,Gorgui Dieng,Gorgui,1610612763,MEM,30.0,46,13,33,0.283,16.9,102.6,4.0,0.224,0.33,0.8,0.262,0.9,0.375,6.6,4.8,4.5,16.3,0.08,4,4,21,17,16,5,7,2,3,10,4,4,3,10,9,7,7,3,2019-20
4,1628980,Jacob Evans,Jacob,1610612750,MIN,23.0,2,1,1,0.5,2.1,72.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.035,23,22,1,1,24,1,24,24,24,22,22,22,22,1,1,1,1,17,2019-20
5,1627774,Jake Layman,Jake,1610612750,MIN,26.0,23,11,12,0.478,22.0,104.6,1.7,0.075,0.111,0.7,0.163,0.4,0.2,8.2,6.2,5.1,21.1,0.097,16,9,8,3,12,7,19,21,21,11,15,9,8,14,14,12,12,1,2019-20
6,201949,James Johnson,James,1610612750,MIN,33.0,14,4,10,0.286,24.2,117.2,3.5,0.145,0.22,1.4,0.271,1.4,0.487,9.3,7.8,7.6,28.6,0.012,18,17,5,12,9,22,8,9,9,3,3,1,1,16,18,18,17,22,2019-20
7,1629020,Jarred Vanderbilt,Jarred,1610612750,MIN,21.0,2,1,1,0.5,2.6,92.9,0.5,0.143,0.167,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.025,23,22,1,1,23,2,23,10,14,22,22,22,22,2,2,1,2,21,2019-20
8,1629633,Jarrett Culver,Jarrett,1610612750,MIN,21.0,63,19,44,0.302,23.9,109.3,2.3,0.092,0.133,0.9,0.211,0.6,0.197,8.1,6.5,6.3,25.2,0.068,1,1,24,10,10,12,15,18,18,9,9,7,9,13,15,15,15,7,2019-20
9,1629669,Jaylen Nowell,Jaylen,1610612750,MIN,20.0,15,2,13,0.133,10.1,98.5,0.7,0.065,0.095,0.2,0.103,0.1,0.067,3.5,1.8,3.3,11.1,0.062,17,21,9,23,21,3,22,23,23,20,19,20,18,3,3,5,4,9,2019-20
10,201952,Jeff Teague,Jeff,1610612737,ATL,32.0,34,12,22,0.353,27.8,111.9,2.1,0.071,0.106,0.7,0.164,0.4,0.114,10.0,9.0,6.7,29.1,0.057,9,5,14,6,7,19,17,22,22,12,14,11,16,18,21,16,19,12,2019-20
11,1628395,Jordan Bell,Jordan,1610612739,CLE,25.0,27,8,19,0.296,8.7,108.2,1.9,0.203,0.282,0.1,0.051,0.4,0.303,4.0,2.3,2.0,8.4,0.029,15,13,10,11,22,10,18,5,5,21,21,12,5,4,4,3,3,20,2019-20
12,1629162,Jordan McLaughlin,Jordan,1610612750,MIN,24.0,30,7,23,0.233,19.7,111.1,1.4,0.079,0.115,1.1,0.283,0.1,0.067,7.1,5.5,5.0,23.0,0.046,12,16,16,21,14,16,20,20,20,4,2,19,18,12,11,11,14,15,2019-20
13,1629006,Josh Okogie,Josh,1610612750,MIN,21.0,62,19,43,0.306,25.0,111.0,2.9,0.114,0.17,1.1,0.227,0.4,0.16,9.6,7.3,7.0,26.6,0.058,2,1,23,9,8,15,10,15,13,6,8,10,11,17,16,17,16,11,2019-20
14,1627823,Juancho Hernangomez,Juancho,1610612750,MIN,24.0,14,4,10,0.286,29.4,118.9,5.9,0.208,0.304,1.0,0.194,0.3,0.125,10.6,8.8,10.9,39.0,-0.001,18,17,5,12,6,23,2,3,4,7,10,15,14,20,19,23,23,23,2019-20
15,1626157,Karl-Anthony Towns,Karl-Anthony,1610612750,MIN,24.0,35,10,25,0.286,33.9,115.4,8.1,0.24,0.335,0.9,0.167,1.2,0.341,11.8,8.9,8.6,35.0,0.034,8,10,17,12,2,21,1,1,1,8,13,2,4,22,20,20,21,18,2019-20
16,1628966,Keita Bates-Diop,Keita,1610612743,DEN,24.0,37,8,29,0.216,17.5,109.7,2.4,0.13,0.192,0.5,0.179,0.5,0.23,6.6,5.2,4.8,18.9,0.05,6,13,19,22,15,13,14,12,11,17,12,8,7,9,10,10,9,14,2019-20
17,1629103,Kelan Martin,Kelan,1610612750,MIN,24.0,31,12,19,0.387,16.0,103.1,2.7,0.154,0.231,0.2,0.073,0.3,0.136,5.6,4.3,3.2,16.1,0.076,11,5,10,4,18,6,12,8,8,19,20,14,13,6,8,4,6,4,2019-20
18,1627736,Malik Beasley,Malik,1610612750,MIN,23.0,14,4,10,0.286,33.1,119.4,4.4,0.137,0.203,0.6,0.108,0.1,0.05,12.2,9.9,11.1,42.7,-0.006,18,17,5,12,3,24,4,11,10,14,18,18,20,23,24,24,24,24,2019-20
19,1629675,Naz Reid,Naz,1610612750,MIN,20.0,30,8,22,0.267,16.5,107.6,3.0,0.176,0.25,0.6,0.232,0.7,0.44,5.8,3.7,4.6,19.0,0.055,12,13,14,18,17,9,9,6,6,15,7,6,2,7,5,8,10,13,2019-20
20,203943,Noah Vonleh,Noah,1610612743,DEN,24.0,29,10,19,0.345,12.0,102.1,2.8,0.207,0.335,0.4,0.183,0.2,0.14,4.2,4.1,3.4,12.3,0.065,14,10,10,7,20,4,11,4,2,18,11,16,12,5,7,6,5,8,2019-20
21,203496,Robert Covington,Robert,1610612745,HOU,29.0,48,15,33,0.313,29.4,110.4,5.2,0.174,0.249,1.7,0.314,0.9,0.25,10.5,7.4,7.6,28.8,0.073,3,3,21,8,5,14,3,7,7,1,1,3,6,19,17,19,18,6,2019-20
22,203894,Shabazz Napier,Shabazz,1610612764,WAS,28.0,36,9,27,0.25,23.8,107.0,2.6,0.108,0.156,1.1,0.24,0.2,0.079,9.0,5.5,5.9,22.8,0.084,7,12,18,19,11,8,13,16,16,5,6,17,17,15,12,14,13,2,2019-20
23,1626203,Treveon Graham,Treveon,1610612737,ATL,26.0,33,12,21,0.364,20.1,108.9,2.2,0.097,0.147,0.5,0.159,0.1,0.026,6.8,6.1,4.6,20.5,0.059,10,5,13,5,13,11,16,17,17,16,16,21,21,11,13,9,11,10,2019-20
0,203952,Andrew Wiggins,Andrew,1610612750,MIN,24.0,73,31,42,0.425,34.8,111.9,3.7,0.099,0.149,1.0,0.17,0.7,0.182,11.1,11.1,9.8,35.4,0.069,4,5,18,14,2,13,5,11,11,7,15,4,11,19,20,20,20,4,2018-19
1,201229,Anthony Tolliver,Anthony,1610612750,MIN,34.0,65,27,38,0.415,16.6,108.6,2.5,0.143,0.213,0.3,0.099,0.3,0.212,4.7,5.2,3.8,16.2,0.049,8,8,15,15,14,5,8,5,6,19,21,11,7,9,9,7,8,11,2018-19
2,203710,C.J. Williams,C.J.,1610612750,MIN,29.0,15,4,11,0.267,8.5,113.0,0.5,0.053,0.085,0.4,0.316,0.0,0.0,1.8,3.1,1.8,8.8,0.014,16,17,7,20,19,17,19,20,19,16,3,19,19,2,5,2,3,18,2018-19
3,1629244,Cam Reynolds,Cam,1610612750,MIN,24.0,19,6,13,0.316,13.7,112.4,1.4,0.102,0.148,0.3,0.188,0.1,0.087,3.7,4.5,3.3,12.8,0.025,15,16,9,17,15,15,16,10,12,17,11,15,14,5,7,5,5,17,2018-19
4,203967,Dario Saric,Dario,1610612750,MIN,25.0,68,31,37,0.456,23.9,111.6,3.9,0.157,0.226,0.6,0.16,0.1,0.041,7.7,6.5,7.1,24.6,0.049,6,5,14,7,8,12,4,4,5,13,16,16,16,14,12,15,13,12,2018-19
5,201565,Derrick Rose,Derrick,1610612750,MIN,30.0,51,24,27,0.471,27.3,110.8,2.1,0.07,0.109,0.6,0.129,0.2,0.073,8.6,10.3,7.0,26.6,0.064,9,9,13,5,6,9,13,15,15,12,19,12,15,16,18,13,16,6,2018-19
6,203476,Gorgui Dieng,Gorgui,1610612750,MIN,29.0,76,33,43,0.434,13.6,109.0,3.0,0.225,0.331,0.6,0.238,0.5,0.466,4.1,3.7,3.7,13.1,0.04,2,2,20,10,16,7,7,2,2,11,6,6,1,6,6,6,6,14,2018-19
