,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,PTS,REB,AST,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT,SEASON_ID
8,202710,Jimmy Butler,1610612750,MIN,28.0,6-8,80,236,Marquette,USA,2011,1,30,59,22.2,5.3,4.9,8.3,0.038,0.112,0.245,0.59,0.204,2017-18
9,1628383,Justin Patton,1610612750,MIN,21.0,7-0,84,236,Creighton,USA,2017,1,16,1,2.0,0.0,0.0,30.0,0.0,0.0,0.2,0.5,0.0,2017-18
10,1626157,Karl-Anthony Towns,1610612750,MIN,22.0,7-0,84,248,Kentucky,USA,2015,1,1,82,21.3,12.3,2.4,6.1,0.085,0.272,0.225,0.646,0.105,2017-18
11,1627875,Marcus Georges-Hunt,1610612750,MIN,24.0,6-5,77,226,Georgia Tech,USA,Undrafted,Undrafted,Undrafted,42,1.4,0.4,0.2,-4.4,0.03,0.043,0.111,0.515,0.045,2017-18
12,202357,Nemanja Bjelica,1610612750,MIN,30.0,6-10,82,230,None,Serbia,2010,2,35,67,6.8,4.1,1.3,0.0,0.039,0.164,0.139,0.581,0.088,2017-18
14,201959,Taj Gibson,1610612750,MIN,33.0,6-9,81,235,Southern California,USA,2009,1,26,82,12.2,7.1,1.2,4.6,0.072,0.146,0.144,0.61,0.051,2017-18
15,1626145,Tyus Jones,1610612750,MIN,22.0,6-2,74,184,Duke,USA,2015,1,24,82,5.1,1.6,2.8,5.6,0.011,0.083,0.124,0.572,0.215,2017-18
0,203940,Adreian Payne,1610612750,MIN,26.0,6-10,82,237,Michigan State,USA,2014,1,15,18,3.5,1.8,0.4,3.2,0.06,0.179,0.219,0.505,0.089,2016-17
1,203952,Andrew Wiggins,1610612750,MIN,22.0,6-8,80,199,Kansas,Canada,2014,1,1,82,23.6,4.0,2.3,-0.2,0.034,0.077,0.286,0.534,0.104,2016-17
2,201575,Brandon Rush,1610612750,MIN,31.0,6-6,78,225,Kansas,USA,2008,1,13,47,4.2,2.1,1.0,-2.1,0.017,0.081,0.097,0.505,0.058,2016-17
3,202332,Cole Aldrich,1610612750,MIN,28.0,6-11,83,250,Kansas,USA,2010,1,11,62,1.7,2.5,0.4,-1.6,0.098,0.212,0.091,0.549,0.063,2016-17
4,203476,Gorgui Dieng,1610612750,MIN,27.0,6-11,83,240,Louisville,Senegal,2013,1,21,82,10.0,7.9,1.9,0.8,0.073,0.181,0.14,0.555,0.086,2016-17
5,101249,John Lucas III,1610612750,MIN,34.0,5-11,71,166,Oklahoma State,USA,Undrafted,Undrafted,Undrafted,5,0.4,0.0,0.2,52.3,0.0,0.0,0.154,0.25,0.2,2016-17
6,201941,Jordan Hill,1610612750,MIN,29.0,6-10,82,240,Arizona,USA,2009,1,8,7,1.7,2.0,0.0,12.1,0.182,0.122,0.171,0.432,0.0,2016-17
7,1626157,Karl-Anthony Towns,1610612750,MIN,21.0,7-0,84,244,Kentucky,USA,2015,1,1,82,25.1,12.3,2.7,-0.3,0.101,0.247,0.271,0.618,0.127,2016-17
8,1627739,Kris Dunn,1610612750,MIN,23.0,6-4,76,205,Providence,USA,2016,1,5,78,3.8,2.1,2.4,-3.4,0.018,0.112,0.139,0.432,0.2,2016-17
10,202357,Nemanja Bjelica,1610612750,MIN,29.0,6-10,82,225,None,Serbia,2010,2,35,65,6.2,3.8,1.2,0.5,0.047,0.157,0.159,0.526,0.102,2016-17
11,201956,Omri Casspi,1610612750,MIN,29.0,6-9,81,225,None,Israel,2009,1,23,13,3.5,1.5,0.8,-16.8,0.027,0.082,0.099,0.542,0.071,2016-17
12,201937,Ricky Rubio,1610612750,MIN,26.0,6-4,76,190,None,Spain,2009,1,5,75,11.1,4.1,9.1,-0.7,0.028,0.1,0.171,0.539,0.385,2016-17
13,203498,Shabazz Muhammad,1610612750,MIN,24.0,6-6,78,223,UCLA,USA,2013,1,14,78,9.9,2.8,0.4,-1.6,0.055,0.094,0.209,0.566,0.038,2016-17
14,1626145,Tyus Jones,1610612750,MIN,21.0,6-2,74,195,Duke,USA,2015,1,24,60,3.5,1.1,2.6,2.0,0.013,0.078,0.132,0.523,0.276,2016-17
15,203897,Zach LaVine,1610612750,MIN,22.0,6-5,77,185,UCLA,USA,2014,1,13,47,18.9,3.4,3.0,-2.8,0.011,0.087,0.215,0.576,0.128,2016-17
0,203940,Adreian Payne,1610612750,MIN,25.0,6-10,82,237,Michigan State,USA,2014,1,15,52,2.5,2.1,0.6,-12.0,0.044,0.198,0.175,0.422,0.093,2015-16
2,203952,Andrew Wiggins,1610612750,MIN,21.0,6-8,80,199,Kansas,Canada,2014,1,1,81,20.7,3.6,2.0,-1.3,0.039,0.066,0.267,0.543,0.098,2015-16
3,204014,Damjan Rudez,1610612750,MIN,30.0,6-9,81,230,None,Croatia,Undrafted,Undrafted,Undrafted,33,2.3,0.6,0.3,-2.5,0.019,0.056,0.123,0.572,0.058,2015-16
4,203476,Gorgui Dieng,1610612750,MIN,26.0,6-11,83,241,Louisville,Senegal,2013,1,21,82,10.1,7.1,1.7,-0.3,0.077,0.196,0.165,0.601,0.099,2015-16
5,202962,Greg Smith,1610612750,MIN,25.0,6-10,82,250,Fresno State,USA,Undrafted,Undrafted,Undrafted,18,2.4,2.3,0.3,-19.8,0.059,0.169,0.104,0.545,0.049,2015-16
6,1626157,Karl-Anthony Towns,1610612750,MIN,20.0,7-0,84,244,Kentucky,USA,2015,1,1,82,18.3,10.5,2.0,-2.5,0.092,0.242,0.243,0.59,0.108,2015-16
7,708,Kevin Garnett,1610612750,MIN,40.0,6-11,83,240,None,USA,1995,1,5,38,3.2,3.9,1.6,4.6,0.028,0.235,0.114,0.491,0.164,2015-16
9,202357,Nemanja Bjelica,1610612750,MIN,28.0,6-10,82,240,None,Serbia,2010,2,35,60,5.1,3.5,1.4,-5.7,0.047,0.156,0.123,0.594,0.115,2015-16
10,201593,Nikola Pekovic,1610612750,MIN,30.0,6-11,83,307,None,Montenegro,2008,2,31,12,4.5,1.8,0.9,-19.9,0.048,0.098,0.204,0.459,0.131,2015-16
11,201937,Ricky Rubio,1610612750,MIN,25.0,6-4,76,194,None,Spain,2009,1,5,76,10.1,4.3,8.7,0.5,0.018,0.124,0.173,0.529,0.402,2015-16
12,203498,Shabazz Muhammad,1610612750,MIN,23.0,6-6,78,223,UCLA,USA,2013,1,14,82,10.5,3.3,0.6,-7.8,0.062,0.102,0.222,0.548,0.055,2015-16
13,2419,Tayshaun Prince,1610612750,MIN,36.0,6-9,81,212,Kentucky,USA,2002,1,23,77,2.9,1.9,1.0,-4.0,0.022,0.078,0.081,0.466,0.073,2015-16
14,1626145,Tyus Jones,1610612750,MIN,20.0,6-2,74,195,Duke,USA,2015,1,24,37,4.2,1.3,2.9,-10.7,0.012,0.073,0.151,0.45,0.278,2015-16
15,203897,Zach LaVine,1610612750,MIN,21.0,6-5,77,189,UCLA,USA,2014,1,13,82,14.0,2.8,3.1,-6.2,0.012,0.089,0.228,0.548,0.187,2015-16
